ticker,event_date,momentum_pct,deleted_dir
APM,2025-04-15,64.42,data/filtered/APM_None_64.42
APM,2025-06-04,30.43,data/filtered/APM_None_30.43
APM,2025-07-16,355.76,data/filtered/APM_None_355.76
APM,2025-08-21,251.97,data/filtered/APM_None_251.97
APM,2025-09-30,31.31,data/filtered/APM_None_31.31
APPS,2025-02-06,101.97,data/filtered/APPS_None_101.97
APPS,2025-04-09,33.13,data/filtered/APPS_None_33.13
APPS,2025-06-17,61.43,data/filtered/APPS_None_61.43
APPX,2025-05-08,34.95,data/filtered/APPX_None_34.95
APPX,2025-08-07,31.18,data/filtered/APPX_None_31.18
APP,2025-02-13,38.08,data/filtered/APP_None_38.08
APRE,2025-01-03,40.06,data/filtered/APRE_None_40.06
APVO,2025-04-02,261.69,data/filtered/APVO_None_261.69
APVO,2025-04-03,91.30,data/filtered/APVO_None_91.30
APVO,2025-04-21,56.63,data/filtered/APVO_None_56.63
APVO,2025-05-21,131.27,data/filtered/APVO_None_131.27
APVO,2025-06-18,364.89,data/filtered/APVO_None_364.89
APVO,2025-09-16,88.19,data/filtered/APVO_None_88.19
APVO,2025-09-18,80.85,data/filtered/APVO_None_80.85
APVO,2025-10-07,40.43,data/filtered/APVO_None_40.43
APYX,2025-05-13,59.28,data/filtered/APYX_None_59.28
AQB,2025-03-26,89.15,data/filtered/AQB_None_89.15
AQB,2025-08-28,76.21,data/filtered/AQB_None_76.21
AQB,2025-09-18,39.47,data/filtered/AQB_None_39.47
AQMS,2025-06-10,44.94,data/filtered/AQMS_None_44.94
AQMS,2025-07-09,112.50,data/filtered/AQMS_None_112.50
AQMS,2025-09-24,49.14,data/filtered/AQMS_None_49.14
AQMS,2025-09-26,71.34,data/filtered/AQMS_None_71.34
AQMS,2025-10-13,133.57,data/filtered/AQMS_None_133.57
AQMS,2025-10-14,297.58,data/filtered/AQMS_None_297.58
AQMS,2025-10-16,39.74,data/filtered/AQMS_None_39.74
AQMS,2025-10-30,65.42,data/filtered/AQMS_None_65.42
ARAI,2025-05-28,56.40,data/filtered/ARAI_None_56.40
ARAI,2025-06-10,149.88,data/filtered/ARAI_None_149.88
ARAI,2025-10-06,33.85,data/filtered/ARAI_None_33.85
ARAI,2025-10-14,34.42,data/filtered/ARAI_None_34.42
ARBB,2025-01-06,38.76,data/filtered/ARBB_None_38.76
ARBB,2025-02-28,70.85,data/filtered/ARBB_None_70.85
