ticker,event_date,momentum_pct,filtered_dirname,expected_quote_data_file,found_in_quote_data
ANGX,2025-09-12,38.31,ANGX_2025-09-12_38.31,ANGX_quotes_2025_09_12.parquet,True
ANGX,2025-09-15,42.53,ANGX_2025-09-15_42.53,ANGX_quotes_2025_09_15.parquet,True
ANGX,2025-09-29,44.70,ANGX_2025-09-29_44.70,ANGX_quotes_2025_09_29.parquet,True
ANGX,2025-10-01,40.45,ANGX_2025-10-01_40.45,ANGX_quotes_2025_10_01.parquet,True
ANNA,2025-01-10,50.29,ANNA_2025-01-10_50.29,ANNA_quotes_2025_01_10.parquet,True
ANNA,2025-03-20,39.14,ANNA_2025-03-20_39.14,ANNA_quotes_2025_03_20.parquet,True
ANNA,2025-04-16,38.72,ANNA_2025-04-16_38.72,ANNA_quotes_2025_04_16.parquet,True
ANNX,2025-03-17,35.00,ANNX_2025-03-17_35.00,ANNX_quotes_2025_03_17.parquet,True
ANPA,2025-07-09,321.31,ANPA_2025-07-09_321.31,ANPA_quotes_2025_07_09.parquet,True
ANPA,2025-07-15,135.53,ANPA_2025-07-15_135.53,ANPA_quotes_2025_07_15.parquet,True
ANPA,2025-07-17,35.32,ANPA_2025-07-17_35.32,ANPA_quotes_2025_07_17.parquet,True
ANPA,2025-07-18,57.03,ANPA_2025-07-18_57.03,ANPA_quotes_2025_07_18.parquet,True
ANPA,2025-07-21,40.59,ANPA_2025-07-21_40.59,ANPA_quotes_2025_07_21.parquet,True
ANPA,2025-07-23,80.68,ANPA_2025-07-23_80.68,ANPA_quotes_2025_07_23.parquet,True
ANPA,2025-07-24,34.94,ANPA_2025-07-24_34.94,ANPA_quotes_2025_07_24.parquet,True
ANPA,2025-07-29,49.05,ANPA_2025-07-29_49.05,ANPA_quotes_2025_07_29.parquet,True
ANRO,2025-10-03,91.84,ANRO_2025-10-03_91.84,ANRO_quotes_2025_10_03.parquet,True
ANRO,2025-10-20,100.49,ANRO_2025-10-20_100.49,ANRO_quotes_2025_10_20.parquet,True
ANVS,2025-04-21,40.02,ANVS_2025-04-21_40.02,ANVS_quotes_2025_04_21.parquet,True
ANVS,2025-06-04,33.33,ANVS_2025-06-04_33.33,ANVS_quotes_2025_06_04.parquet,True
APED,2025-04-09,44.20,APED_2025-04-09_44.20,APED_quotes_2025_04_09.parquet,True
APEI,2025-03-07,32.99,APEI_2025-03-07_32.99,APEI_quotes_2025_03_07.parquet,True
APLD,2025-06-02,54.32,APLD_2025-06-02_54.32,APLD_quotes_2025_06_02.parquet,True
APLD,2025-06-04,31.41,APLD_2025-06-04_31.41,APLD_quotes_2025_06_04.parquet,True
APLD,2025-07-31,40.18,APLD_2025-07-31_40.18,APLD_quotes_2025_07_31.parquet,True
APLD,2025-10-10,33.39,APLD_2025-10-10_33.39,APLD_quotes_2025_10_10.parquet,True
APLM,2025-03-20,41.21,APLM_2025-03-20_41.21,APLM_quotes_2025_03_20.parquet,True
APLM,2025-05-21,34.08,APLM_2025-05-21_34.08,APLM_quotes_2025_05_21.parquet,True
APLM,2025-07-21,31.72,APLM_2025-07-21_31.72,APLM_quotes_2025_07_21.parquet,True
APLM,2025-09-04,36.04,APLM_2025-09-04_36.04,APLM_quotes_2025_09_04.parquet,True
APLM,2025-09-15,45.68,APLM_2025-09-15_45.68,APLM_quotes_2025_09_15.parquet,True
APLM,2025-09-16,34.55,APLM_2025-09-16_34.55,APLM_quotes_2025_09_16.parquet,True
APLM,2025-09-17,72.25,APLM_2025-09-17_72.25,APLM_quotes_2025_09_17.parquet,True
APLM,2025-10-15,128.50,APLM_2025-10-15_128.50,APLM_quotes_2025_10_15.parquet,True
APLM,2025-10-16,78.97,APLM_2025-10-16_78.97,APLM_quotes_2025_10_16.parquet,True
APLM,2025-10-31,49.01,APLM_2025-10-31_49.01,APLM_quotes_2025_10_31.parquet,True
APLT,2025-09-26,135.63,APLT_2025-09-26_135.63,APLT_quotes_2025_09_26.parquet,True
APM,2025-02-10,47.54,APM_2025-02-10_47.54,APM_quotes_2025_02_10.parquet,True
APM,2025-04-15,64.42,APM_2025-04-15_64.42,APM_quotes_2025_04_15.parquet,True
APM,2025-06-04,30.43,APM_2025-06-04_30.43,APM_quotes_2025_06_04.parquet,True
APM,2025-07-16,355.76,APM_2025-07-16_355.76,APM_quotes_2025_07_16.parquet,True
APM,2025-08-21,251.97,APM_2025-08-21_251.97,APM_quotes_2025_08_21.parquet,True
APM,2025-09-30,31.31,APM_2025-09-30_31.31,APM_quotes_2025_09_30.parquet,True
APPS,2025-02-06,101.97,APPS_2025-02-06_101.97,APPS_quotes_2025_02_06.parquet,True
APPS,2025-04-09,33.13,APPS_2025-04-09_33.13,APPS_quotes_2025_04_09.parquet,True
APPS,2025-06-17,61.43,APPS_2025-06-17_61.43,APPS_quotes_2025_06_17.parquet,True
APPX,2025-05-08,34.95,APPX_2025-05-08_34.95,APPX_quotes_2025_05_08.parquet,True
APPX,2025-08-07,31.18,APPX_2025-08-07_31.18,APPX_quotes_2025_08_07.parquet,True
APP,2025-02-13,38.08,APP_2025-02-13_38.08,APP_quotes_2025_02_13.parquet,True
APRE,2025-01-03,40.06,APRE_2025-01-03_40.06,APRE_quotes_2025_01_03.parquet,True
APVO,2025-04-02,261.69,APVO_2025-04-02_261.69,APVO_quotes_2025_04_02.parquet,True
APVO,2025-04-03,91.30,APVO_2025-04-03_91.30,APVO_quotes_2025_04_03.parquet,True
APVO,2025-04-21,56.63,APVO_2025-04-21_56.63,APVO_quotes_2025_04_21.parquet,True
APVO,2025-05-21,131.27,APVO_2025-05-21_131.27,APVO_quotes_2025_05_21.parquet,True
APVO,2025-06-18,364.89,APVO_2025-06-18_364.89,APVO_quotes_2025_06_18.parquet,True
APVO,2025-09-16,88.19,APVO_2025-09-16_88.19,APVO_quotes_2025_09_16.parquet,True
APVO,2025-09-18,80.85,APVO_2025-09-18_80.85,APVO_quotes_2025_09_18.parquet,True
APVO,2025-10-07,40.43,APVO_2025-10-07_40.43,APVO_quotes_2025_10_07.parquet,True
APYX,2025-05-13,59.28,APYX_2025-05-13_59.28,APYX_quotes_2025_05_13.parquet,True
AQB,2025-03-26,89.15,AQB_2025-03-26_89.15,AQB_quotes_2025_03_26.parquet,True
AQB,2025-08-28,76.21,AQB_2025-08-28_76.21,AQB_quotes_2025_08_28.parquet,True
AQB,2025-09-18,39.47,AQB_2025-09-18_39.47,AQB_quotes_2025_09_18.parquet,True
AQMS,2025-06-10,44.94,AQMS_2025-06-10_44.94,AQMS_quotes_2025_06_10.parquet,True
AQMS,2025-07-09,112.50,AQMS_2025-07-09_112.50,AQMS_quotes_2025_07_09.parquet,True
AQMS,2025-09-24,49.14,AQMS_2025-09-24_49.14,AQMS_quotes_2025_09_24.parquet,True
AQMS,2025-09-26,71.34,AQMS_2025-09-26_71.34,AQMS_quotes_2025_09_26.parquet,True
AQMS,2025-10-13,133.57,AQMS_2025-10-13_133.57,AQMS_quotes_2025_10_13.parquet,True
AQMS,2025-10-14,297.58,AQMS_2025-10-14_297.58,AQMS_quotes_2025_10_14.parquet,True
AQMS,2025-10-16,39.74,AQMS_2025-10-16_39.74,AQMS_quotes_2025_10_16.parquet,True
AQMS,2025-10-30,65.42,AQMS_2025-10-30_65.42,AQMS_quotes_2025_10_30.parquet,True
ARAI,2025-05-28,56.40,ARAI_2025-05-28_56.40,ARAI_quotes_2025_05_28.parquet,True
ARAI,2025-06-10,149.88,ARAI_2025-06-10_149.88,ARAI_quotes_2025_06_10.parquet,True
ARAI,2025-10-06,33.85,ARAI_2025-10-06_33.85,ARAI_quotes_2025_10_06.parquet,True
ARAI,2025-10-14,34.42,ARAI_2025-10-14_34.42,ARAI_quotes_2025_10_14.parquet,True
ARBB,2025-01-06,38.76,ARBB_2025-01-06_38.76,ARBB_quotes_2025_01_06.parquet,True
ARBB,2025-02-28,70.85,ARBB_2025-02-28_70.85,ARBB_quotes_2025_02_28.parquet,True
ARBB,2025-03-05,87.02,ARBB_2025-03-05_87.02,ARBB_quotes_2025_03_05.parquet,True
ARBB,2025-03-07,61.25,ARBB_2025-03-07_61.25,ARBB_quotes_2025_03_07.parquet,True
ARBB,2025-04-14,42.95,ARBB_2025-04-14_42.95,ARBB_quotes_2025_04_14.parquet,True
ARBB,2025-04-15,67.69,ARBB_2025-04-15_67.69,ARBB_quotes_2025_04_15.parquet,True
