dest_dir,status,detail
BBAI.WS_2025-06-30_53.59,good,3423
BBAI.WS_2025-09-16_31.97,good,2038
BBAI.WS_2025-10-13_38.66,good,3234
BBAR_2025-10-27_48.17,good,49797
BBBY_2025-10-02_30.81,good,40518
BBLG_2025-05-20_48.13,good,13741
BBLG_2025-06-27_48.80,good,372280
BBLG_2025-09-04_99.51,good,671398
BBLGW_2025-02-05_37.24,good,267
BCAX_2025-09-29_30.66,good,27647
BCDA_2025-03-03_32.84,good,1142
BCDA_2025-04-29_32.23,good,1795
BCG_2025-02-27_212.67,good,376809
BCTX_2025-02-03_56.77,good,123971
BCTX_2025-04-22_30.31,good,6009
BCTX_2025-04-24_80.85,good,373045
BDMD_2025-01-06_32.28,good,7365
BDMD_2025-01-13_41.11,good,11969
BDMD_2025-01-17_118.82,good,167505
BDMD_2025-01-23_40.31,good,12001
BDMD_2025-03-11_43.63,good,1253
BDMD_2025-03-12_35.28,good,3259
BDMD_2025-06-13_50.35,good,3190
BDMD_2025-08-14_36.86,good,4662
BDRX_2025-02-10_126.04,good,245060
BDRX_2025-03-10_45.57,good,218659
BDRX_2025-03-19_31.51,good,266399
BDRX_2025-04-02_40.00,good,4110
BDRX_2025-05-22_48.46,good,324228
BDRX_2025-06-18_62.00,good,219683
BDRX_2025-07-14_52.17,good,72772
BDRX_2025-10-09_54.09,good,141160
BDSX_2025-03-05_32.86,good,2807
BDSX_2025-05-16_59.00,good,49451
BDSX_2025-05-21_90.07,good,369674
BDTX_2025-01-13_38.34,good,48801
BDTX_2025-03-19_65.48,good,386775
BE_2025-10-13_32.62,good,358854
BEAT_2025-08-12_39.05,good,1116
BEEM_2025-07-17_39.99,good,15008
BEEM_2025-07-21_32.81,good,9616
BEEP_2025-02-25_31.72,good,1471
BENF_2025-09-30_195.16,good,963224
BENF_2025-10-02_41.55,good,68418
BENF_2025-10-22_220.33,good,600624
