dest_dir,path,schema_fingerprint,schema_ok,timestamp_col_used,n_trades,unit_guess,unit_ok,pct_whole_second,granularity_ok,rows_ok,min_ts,max_ts,error,PASS
ABTS_2025-09-19_45.19,data/filtered/ABTS_2025-09-19_45.19/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1616,ns,True,0.0024752475247524753,True,True,1758278429759000000,1758326135433000000,,True
ABTS_2025-09-22_34.51,data/filtered/ABTS_2025-09-22_34.51/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1910,ns,True,0.0005235602094240838,True,True,1758528000030000000,1758580733866000000,,True
ABVC_2025-04-01_32.08,data/filtered/ABVC_2025-04-01_32.08/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,4796,ns,True,0.0004170141784820684,True,True,1743494400022000000,1743551885972000000,,True
ABVC_2025-04-07_80.59,data/filtered/ABVC_2025-04-07_80.59/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,12891,ns,True,0.0005430145062446668,True,True,1744012948612000000,1744070252304000000,,True
ABVC_2025-07-08_37.34,data/filtered/ABVC_2025-07-08_37.34/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,11689,ns,True,0.0014543587988707332,True,True,1751961821054000000,1752019174962000000,,True
ABVE_2025-04-28_50.00,data/filtered/ABVE_2025-04-28_50.00/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,11985,ns,True,0.0021693783896537338,True,True,1745827370705000000,1745884704677000000,,True
ABVE_2025-04-29_54.75,data/filtered/ABVE_2025-04-29_54.75/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,26139,ns,True,0.0008033972225410306,True,True,1745913604169000000,1745971188873000000,,True
ABVE_2025-04-30_41.22,data/filtered/ABVE_2025-04-30_41.22/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,20383,ns,True,0.0005396654074473826,True,True,1746000000024000000,1746057593494000000,,True
ABVE_2025-05-01_68.79,data/filtered/ABVE_2025-05-01_68.79/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,13111,ns,True,0.0006101746624971398,True,True,1746086469478000000,1746143992025000000,,True
ABVE_2025-05-13_39.62,data/filtered/ABVE_2025-05-13_39.62/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,3339,ns,True,0.0005989817310572028,True,True,1747124811677000000,1747180712024000000,,True
